No;Pertanyaan;Fakta;Dokumen;Keluaran System;TP;TN;FP;FN
108;Kapan Pertempuran Ypres Ketiga berakhir?;10-Nov-17;"6 November 1917;12 Oktober 1917;6 Januari 2022;25 Mei 1915;23 April 1915;4 Mei 1915;13 Mei 1915;25 Mei 1915;22 April 1915;24 April 1915;6 Mei 1915;18 Desember 1916;22 Juni 1941;2 September 1945;24 Juni 1932;24 Juni 1932;24 Juni 1932;22 November 1914;22 November 1914;11 November 1914;22 November 1914;22 November 1914;11 November 1914;22 November 1914;22 November 1914;11 November 1914;24 Oktober 1917;16 April 1917;20 April 1917;5 Mei 1917";22-Nov-14;0;1;0;0
109;Kapan Pertempuran Cambrai dimulai?;20-Nov-17;"7 Desember 1917;20 Mei 1917;12 November 1917;20 November 1917;20 November 1917;30 November 1917;10 Oktober 1918;10 Oktober 1918;24 Oktober 1917;16 April 1917;20 April 1917;5 Mei 1917;13 November 1916;18 November 1916;22 November 1914;22 November 1914;11 November 1914;14 Juni 1917;7 Juni 1917;11 Juli 1917;17 Juli 1955";20-Nov-17;1;0;0;0
110;Kapan kemerdekaan Lithuania?;11 Maret 1990;"11 Maret 1990;11 Maret 1990;11 Maret 2022;23 Juni 2022;9 April 2022;11 Maret 1990;6 September 1991;23 Juni 2022;11 Maret 1990;11 Maret 1990;24 Juni 2022;11 Maret 2017;10 Januari 1990;11 Maret 1990;6 September 1991;11 Maret 1990;11 Maret 1990;28 Juli 1922;25 Juli 1922;5 September 1940;2 September 1991;6 September 1991;2 Oktober 1991;11 Maret 1990;11 Maret 1990;11 Maret 1990;6 September 1991;4 Mei 1990;4 Mei 1990;04 Mei 2022;04 Mei 2022;18 November 1918;4 Mei 1990;20 Juni 1837;19 Juni 1970;18 Juni 2019;17 Juni 2017;4 Mei 1990;29 Maret 2004;24 Juni 1932;24 Juni 1932;24 Juni 1932";11 Maret 1990;1;0;0;0
111;Kapan kemerdekaan Estonia?;24 Februari 1918;"20 Agustus 1991;24 Juni 2022;20 Agustus 1991;28 Agustus 2019;87 September 2018;21 November 2016;43 Desember 2014;13 Oktober 2014;29 Juli 2012";20 Agustus 1991;0;1;0;0
112;Kapan kemerdekaan Korea Utara?;09-Sep-48;"15 April 1992;9 September 1948;9 September 1948;8 Juli 1994;9 September 1948;1 Maret 1919;15 Agustus 1945;9 September 1948;26 Mei 2009;19 Desember 2011;25 Juni 1950;27 Juli 1953;25 Juni 1950;4 Oktober 2007;13 Juni 2009;5 Agustus 2009;28 Agustus 2010;7 Agustus 2007;26 Mei 2010;17 Juli 2007;4 Oktober 2007;11 Oktober 2008;1 April 1974;19 September 2005;10 Oktober 1980;12 Maret 2009;2 Desember 2004;18 November 2004;18 Desember 2007;18 Desember 2007;15 Agustus 1948;20 Desember 1947;15 April 2022;15 April 1912;9 September 1948;8 Juli 1994;16 Juni 1963;16 Juni 2022;9 September 2020;9 September 2020;9 September 1948;9 Agustus 1945;10 Agustus 1945;14 Agustus 1945;24 Agustus 1945;27 Desember 1945;3 April 1948;10 Mei 1948;15 Agustus 1945;9 September 1948;9 September 1948;01 April 2020;01 April 2020;01 April 2020;01 April 2020;01 April 2020;9 September 1948";09-Sep-48;1;0;0;0
113;Kapan kemerdekaan Korea Selatan?;15 Agustus 1948;"22 Agustus 1910;8 September 1945;15 Agustus 1948;8 September 1945;10 Mei 1948;15 Agustus 1948;15 Agustus 1948;16 Mei 1961;12 Desember 1979;17 Mei 1980;15 Agustus 1948;15 Agustus 1945;10 Mei 1948;15 Agustus 1948;25 Juni 1950;25 Juli 1953;19 April 1960;15 Maret 1960;16 Mei 1961;31 Januari 2022;17 Agustus 1945;15 Agustus 1945;15 Agustus 1948;15 Agustus 1945;10 Mei 1948;15 Agustus 1948;25 Juni 1950;25 Juli 1953;19 April 1960;15 Maret 1960;16 Mei 1961;9 November 2021;15 Agustus 1945;15 Agustus 1948;01 April 2020;01 April 2020;01 April 2020;01 April 2020;01 April 2020;15 Agustus 1948;15 Agustus 1945;10 Mei 1948;15 Agustus 1948;25 Juni 1950;25 Juli 1953;19 April 1960;15 Maret 1960;16 Mei 1961;15 Agustus 1948;28 Maret 2022;23 Juni 2022;22 Juni 2022;21 Juni 2022";15 Agustus 1948;1;0;0;0
114;Kapan terjadinya Peristiwa Rengasdengklok?;16 Agustus 1945;"25 Mei 2022;17 Agustus 1945;17 Agustus 1945;16 Agustus 1945;24 Juni 2022;16 Agustus 1945;17 Agustus 1945;17 Agustus 1945;16 Agustus 1945;17 Agustus 2008;02 Mei 2021;17 Mei 2022;24 Juni 2022;31 Januari 2022;17 Agustus 1945;6 Agustus 1945;9 Agustus 1945;10 Agustus 1945;16 Agustus 1945;16 Agustus 1945;17 Agustus 1945;14 Agustus 1945;16 Agustus 1945;16 Agustus 1945;24 Juni 2022;17 Agustus 1945;17 Agustus 1945;16 Agustus 1945;16 Agustus 1945;10 Agustus 1945;15 Agustus 1945;14 Agustus 1945;16 Agustus 1945;17 Agustus 1945;17 Agustus 1945;16 Agustus 1945;17 Agustus 1945;17 Agustus 1945;10 Agustus 1945;16 Agustus 1945;17 Agustus 1945;17 Agustus 1945;16 Agustus 1945;17 Agustus 2008;6 Juni 2022;16 Agustus 1945;17 Agustus 2021;16 Agustus 1945;9 Agustus 1945;14 Agustus 1945";16 Agustus 1945;1;0;0;0
115;Kapan sidang pertama PPKI menghasilkan tiga keputusan diadakan?;18 Agustus 1945;"18 Agustus 1945;18 Agustus 1945;18 Agustus 1945;18 Agustus 1945;18 Agustus 1945;18 Agustus 1945;19 Agustus 1945;22 Agustus 1945;16 Agustus 1945;18 Agustus 1945;18 Agustus 1945;18 Agustus 1945;7 Agustus 1945;22 Agustus 1945;18 Agustus 1945;18 agustus 1945;19 Agustus 1945;22 Agustus 1945;29 Agustus 1945;22 Agustus 1945;14 Agustus 1945;18 Agustus 1945;18 Agustus 1945;19 Agustus 1945;19 Agustus 1945;29 Agustus 1945;18 Agustus 1945;18 Agustus 1945;18 Agustus 1945;17 Agustus 1945;7 Agustus 1945;18 Agustus 1945;19 Agustus 1945;18 Agustus 1945;19 Agustus 1945;16 Agustus 1945;19 September 1945;1 Maret 1949;19 Agustus 1945;19 Januari 2022;18 Agustus 1945;19 Agustus 1945;22 Agustus 1945;18 Agustus 1945;19 Agustus 1945;22 Agustus 1945;5 Oktober 1945;18 Agustus 1945";18 Agustus 1945;1;0;0;0
116;Kapan PPKI bubar?;22 Agustus 1945;"29 Agustus 1945;6 Agustus 1945;29 Agustus 1945;29 Agustus 1945;22 Agustus 1945;22 Agustus 1945;29 Agustus 1945;1 maret 1945;29 April 1945;12 Agustus 1945;28 Mei 1945;18 Agustus 1945;22 Agustus 1945;16 Agustus 2021;18 Agustus 1945;19 Agustus 2020;17 Agustus 1945;18 Agustus 2020;17 Agustus 1945;16 Agustus 1945;15 Agustus 1945;17 Agustus 1945;18 Agustus 1945;1 Maret 1945;29 April 1945;28 Mei 1945;29 Mei 1945;1 Juni 1945;31 Mei 1945;1 Juni 1945;22 Juni 1945;10 Juli 1945;11 Juli 1945;13 Juli 1945;14 Juli 1945;15 Juli 1945;16 Juli 1945;7 Agustus 1945;18 Agustus 1945;19 Agustus 1945;19 Agustus 1945;29 Agustus 1945;22 Agustus 1945;29 Agustus 1945;20 Juni 1995;21 Juni 1995;19 Agustus 2021;17 Agustus 1945;18 Agustus 2021;17 Agustus 2021;17 Agustus 2021;23 Juni 2022;8 Juni 2022;8 Juni 2022;6 Juni 2022;26 Mei 2022;19 Mei 2022;17 Mei 2022;10 Mei 2022;7 Agustus 1945;8 Agustus 1945;14 Agustus 1945;14 Agustus 1945;17 Agustus 1945;7 Agustus 1945;9 Agustus 1945;7 Agustus 1945;18 Agustus 1945;19 Agustus 1945;20 Agustus 2021;29 Agustus 1945;7 agustus 1945;9 Agustus 1945;7 September 1944;1 maret 1945;29 April 1945;29 Mei 1945;1 Juni 1945;10 Juli 1945;17 Juli 1945;7 Agustus 1945;9 Agustus 1945;16 Agustus 1945;16 Agustus 1945;17 Agustus 1945;18 Agustus 1945;18 Agustus 1945;18 Agustus 1945;19 Agustus 1945;18 Agustus 1945;22 Juni 1945;18 Agustus 1945;19 Agustus 1945;22 agustus 1945;7 Agustus 1945;7 Agustus 1945;7 Agustus 1945;07 Agustus 2020;7 Agustus 1945;9 Agustus 1945;16 Agustus 1945;17 Agustus 1945;7 Agustus 1945;12 Mei 2020;11 Mei 2020;10 Mei 2020;12 Mei 2020;11 Mei 2020;18 Agustus 1945;19 Agustus 1945;22 Agustus 1945;12 Agustus 1945;29 Agustus 1945;7 Agustus 1945;7 Agustus 1945;7 Agustus 1945;12 Agustus 1945;8 Agustus 1945;18 agustus 1945;18 Agustus 1945;19 Agustus 1945;19 Agustus 1945;22 Agustus 1945;7 Juni 2022;7 Agustus 1945;7 Agustus 1945;9 Agustus 1945;18 Agustus 1945;19 Agustus 1945;22 Agustus 1945;29 Agustus 1945;24 Juni 2022;7 Agustus 1945;17 Desember 2021;7 Agustus 1945;9 Agustus 1945;17 Agustus 1945;14 Agustus 1945;17 Agustus 1945;18 Agustus 1945;19 Agustus 1945;22 Agustus 1945;19 September 1945;29 Agustus 1945;16 Oktober 1945;3 November 1945;24 Juni 2022";07 Agustus 1945;0;0;1;0
117;Kapan kemerdekaan Vietnam?;02-Sep-45;"21 Januari 1968;21 Januari 1968;21 Januari 2022;2 September 1945;21 Januari 1968;23 Juni 1972;8 April 1968;17 Juni 1959;8 April 1968;12 Januari 1969;23 Juni 2022;22 Juni 2022;21 Juni 2022;17 Agustus 1945;2 September 1945;24 Juni 1932;24 Juni 1932;27 Juni 2022;24 Juni 2022;24 Juni 1932;2 September 1963;2 September 1945;2 September 1666;2 September 1768;12 Mei 2022;2 September 1945;23 Juni 2022;2 September 1945;2 September 1945;2 September 2019;2 September 1945;2 September 1945;2 September 1945;2 September 1945;2 September 1945;2 September 1945;1 September 1939;2 September 1945;28 Agustus 1996;26 Agustus 1968;2 September 1945;19 Desember 1945;31 Agustus 1997;30 April 1975;2 September 1945;2 September 1945;19 Mei 1890;19 Mei 1890;16 Mei 1929;14 Agustus 1945;2 September 1945;6 Oktober 1945;6 Maret 1946;23 November 1946;19 Desember 1946;7 Mei 1954;21 Juli 1954;2 Maret 1965;30 Januari 1968;2 September 1969;11 September 1969;16 Mei 1929;5 Mei 1818;16 Mei 1929;16 Mei 1929;24 Juni 2022;27 Januari 1973;29 Maret 1973;30 April 1975;2 September 1945";02-Sep-45;1;0;0;0
118;Kapan Jepang secara resmi menyerah, sehingga mengakhiri Perang Dunia II?;02-Sep-45;"2 September 1945;15 Agustus 1945;2 September 1945;28 April 1952;24 Juli 1945;5 April 1946;16 Juli 1945;16 April 1945;1 Juni 1945;2 Agustus 1945;26 Juli 1945;6 Agustus 1945;9 Agustus 1945;9 Agustus 1945;10 Agustus 1945;10 Agustus 1945;12 Agustus 1945;14 Agustus 1945;14 Agustus 1945;12 Agustus 1945;14 Agustus 1945;17 Agustus 1945;2 September 1945;19 Januari 1946;2 September 1945;12 September 1945;28 April 1952;1 Juli 1946;19 Agustus 1945;13 April 1941;13 April 1941;29 April 1945;16 April 1945;25 April 1945;25 April 1946;21 Mei 1945;29 Mei 1945;24 Juni 1945;30 Desember 2013;10 Agustus 1945;6 Agustus 1945;8 Agustus 1945;9 Agustus 1945;1 Agustus 1945;14 Juli 1853;2 September 1945;17 Juli 1945;2 September 1945;15 Agustus 1945;2 September 1945;28 April 1952;24 Juli 1945;5 April 1946;16 Juli 1945;16 April 1945;1 Juni 1945;2 Agustus 1945;26 Juli 1945;6 Agustus 1945;9 Agustus 1945;9 Agustus 1945;10 Agustus 1945;10 Agustus 1945;12 Agustus 1945;14 Agustus 1945;14 Agustus 1945;12 Agustus 1945;14 Agustus 1945;15 Agustus 1945;1 September 1945;17 Agustus 1945;2 September 1945;19 Januari 1946;2 September 1945;12 September 1945;28 April 1952;1 Juli 1946;19 Agustus 1945;13 April 1941;13 April 1941;29 April 1945;16 April 1945;25 April 1945;25 April 1946;21 Mei 1945;29 Mei 1945;24 Juni 1945;30 Desember 2013;10 Agustus 1945;6 Agustus 1945;8 Agustus 1945;9 Agustus 1945;1 Agustus 1945;14 Juli 1853;2 September 1945;17 Juli 1945;10 Juni 2022;2 September 1947;2 September 1998;24 Juni 1932;24 Juni 1932;27 Juni 2022;24 Juni 2022;24 Juni 1932;2 September 1945;15 Agustus 1945;2 September 1945;28 April 1952;24 Juli 1945;5 April 1946;16 Juli 1945;16 April 1945;1 Juni 1945;2 Agustus 1945;26 Juli 1945;6 Agustus 1945;9 Agustus 1945;9 Agustus 1945;10 Agustus 1945;10 Agustus 1945;12 Agustus 1945;14 Agustus 1945;14 Agustus 1945;12 Agustus 1945;14 Agustus 1945;17 Agustus 1945;2 September 1945;19 Januari 1946;2 September 1945;12 September 1945;28 April 1952;1 Juli 1946;19 Agustus 1945;13 April 1941;13 April 1941;29 April 1945;16 April 1945;25 April 1945;25 April 1946;21 Mei 1945;29 Mei 1945;24 Juni 1945;30 Desember 2013;10 Agustus 1945;6 Agustus 1945;8 Agustus 1945;9 Agustus 1945;1 Agustus 1945;14 Juli 1853;2 September 1945;17 Juli 1945;15 Agustus 1945;24 Juni 2022;15 Agustus 1945;15 Agustus 2021;10 Agustus 1920;11 Agustus 1966;12 Agustus 1964;13 Agustus 1961;14 Agustus 1945;24 Juni 2022;24 Juni 2022;24 Juni 2022;24 Juni 2022;24 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;22 Juni 2022;23 Juni 2022;22 Juni 2022;22 Juni 2022;22 Juni 2022;6 Januari 2022;1 September 1939;2 September 1945;8 mei 1945;2 agustus 1945;15 agustus 1945;26 Juli 1945;3 agustus 1945;6 agustus 1945;9 agustus 1945;14 agustus 1945;2 september 1945;6 Januari 2022;6 Januari 2022;22 Juni 2022;20 Juni 2022;15 Juni 2022;9 Juni 2022;27 Mei 2022;19 Mei 2022;19 Mei 2022;16 Mei 2022;18 September 1931;2 Oktober 1935;1 November 1936;25 November 1936;7 Juli 1937;13 Maret 1938;29 September 1938;15 Maret 1939;31 Maret 1939;15 April 1939;23 Agustus 1939;1 September 1939;3 September 1939;17 September 1939;29 September 1939;30 November 1939;12 Maret 1940;9 April 1940;9 Juni 1940;10 Mei 1940;22 Juni 1940;10 Juni 1940;28 Juni 1940;14 Juni 1940;6 Agustus 1940;10 Juli 1940;31 Oktober 1940;30 Agustus 1940;13 September 1940;27 September 1940;1 Maret 1941;6 April 1941;10 April 1941;15 Juni 1941;22 Juni 1941;6 Desember 1941;7 Desember 1941;8 Desember 1941;13 Desember 1941;30 Mei 1942;28 Juni 1942;24 Oktober 1942;8 November 1942;23 November 1942;13 Mei 1943;5 Juli 1943;10 Juli 1943;25 Juli 1943;8 September 1943;9 September 1943;6 November 1943;22 Januari 1944;19 Maret 1944;4 Juni 1944;6 Juni 1944;22 Juni 1944;25 Juli 1944;1 Agustus 1944;5 Oktober 1944;15 Agustus 1944;25 Agustus 1944;23 Agustus 1944;29 Agustus 1944;28 Oktober 1944;12 September 1944;20 Oktober 1944;15 Oktober 1944;16 Desember 1944;1 Januari 1945;12 Januari 1945;7 Maret 1945;16 April 1945;30 April 1945;7 Mei 1945;9 Mei 1945;6 Agustus 1945;8 Agustus 1945;9 Agustus 1945;2 September 1945;14 Agustus 1945";02-Sep-45;1;0;0;0
119;Kapan pasukan sekutu dan NICA mendarat di Jakarta untuk melucuti senjata tentara Jepang?;15-Sep-45;"29 September 1945;8 September 1945;16 September 1945;29 September 1945;24 Juni 2022;06 Juni 1944;06 Juni 1944;15 Agustus 1945;15 Agustus 1945;24 Agustus 1945;20 Oktober 1945;15 September 1945;15 September 1945;15 September 1945;15 September 2020;15 September 1945;15 September 1945;23 Juni 2022;24 Juni 1987;24 Juni 1987;17 Agustus 1945;29 September 1945;20 Oktober 1945;15 Desember 1945;15 Desember 1945;25 Oktober 1945;28 Oktober 1945;9 November 1945;10 November 1945;10 November 1945;13 Oktober 1945;27 November 1945;24 Maret 1946;9 Oktober 1945;13 Oktober 1945;20 November 1946;15 September 1945;24 Juni 2022;15 September 1945;15 September 2021;14 September 2021;15 September 1945;15 September 1945;25 Oktober 1945;14 September 2000;11 Januari 2011;10 November 1945;10 November 1945;1 Maret 1942;8 Maret 1942;17 Agustus 1945;15 September 1945;25 Oktober 1945;31 Agustus 1945;1 September 1945;18 September 1945;27 Oktober 1945;29 Oktober 1945;30 Oktober 1945;10 November 1945;10 November 1945;10 November 1945;17 Agustus 1945;1 Maret 1942;15 Agustus 1945;15 September 1945;10 November 1945;18 Agustus 2021;17 Agustus 1945;29 September 1945;27 Desember 1949;01 April 2020;01 April 2020;01 April 2020;01 April 2020;01 April 2020";15-Sep-45;1;0;0;0
120;Kapan Jerman setuju melakukan gencatan senjata yang kelak dikenal sebagai Hari Gencatan Senjata?;11-Nov-18;"28 Juli 1914;11 November 1918;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;10 Agustus 1920;28 Juli 1914;11 November 1918;28 Juni 1914;11 November 1918;16 Juni 1913;28 Juni 1914;28 Juli 1914;30 Juli 1914;4 Agustus 1914;9 September 1914;30 Agustus 1914;12 September 1914;1 Juli 1916;22 April 1915;1 Juli 1916;1 Juni 1916;7 Januari 1916;29 Mei 1917;19 November 1916;29 September 1918;26 Oktober 1917;6 November 1918;27 Agustus 1916;6 Desember 1916;9 Desember 1917;9 Maret 1918;7 Mei 1918;10 November 1918;3 Maret 1918;3 Mei 1917;7 Mei 1915;6 April 1917;10 April 1918;5 November 1917;8 Agustus 1918;11 November 1918;11 November 1918;28 Juni 1919;24 Juli 1923;23 Agustus 1923;23 Oktober 1911;15 September 1916;30 April 1915;1 November 1914;9 November 1918;28 Juni 1919;3 Mei 1915;8 Desember 1915;1 November 1921;11 November 1918;20 November 1914;20 September 1914;11 November 2009;27 September 2010;20 November 2009;20 November 2009;17 November 2009;1 September 1924;17 November 2009;12 November 2009;17 November 2009;17 November 2009;17 November 2009;17 November 2009;28 November 2006;17 September 2000;12 November 2009;12 November 2009;5 November 1918;26 April 1916;2 November 2007;21 April 2009;15 November 1918;28 September 2006;17 November 2009;6 November 2009;17 November 2009;9 November 2011;12 November 2009;12 November 2009;28 Juli 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juni 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juli 1914;11 November 1918;9 September 1914;28 Juni 1914;11 November 1918;24 Desember 1914;24 Desember 1914;24 Desember 1914;24 Desember 1914;22 Desember 1948;6 Juni 1944;25 Agustus 1944;17 Desember 1944;25 Desember 1974;20 Desember 1989;23 Juni 2022;24 Juni 1987;24 Juni 1987;1 September 1939;8 Mei 1945;15 Agustus 1945;28 Juli 1914;11 November 1918;28 Juni 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juni 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juni 1914;11 November 1918;11 November 1918;11 November 1918;18 November 1918;9 November 1918";11-Nov-18;1;0;0;0
121;Kapan Pendudukan Konstantinopel (Istanbul) terjadi?;29 Mei 1453;"29 Mei 1453;29 Mei 1453;6 April 1453;29 Mei 1453;24 Juni 2022;29 Mei 1453;31 Mei 2017;29 Mei 1453;6 April 1453;29 Mei 1453;01 April 2020;01 April 2020;01 April 2020;01 April 2020;01 April 2020";29 Mei 1453;1;0;0;0
122;kapan terjadinya genjatan senjata pada perang dunia 1;11-Nov-18;"28 Juli 1914;11 November 1918;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;10 Agustus 1920;28 Juli 1914;11 November 1918;28 Juni 1914;11 November 1918;16 Juni 1913;28 Juni 1914;28 Juli 1914;30 Juli 1914;4 Agustus 1914;9 September 1914;30 Agustus 1914;12 September 1914;1 Juli 1916;22 April 1915;15 September 1916;1 Juli 1916;1 Juni 1916;7 Januari 1916;29 Mei 1917;19 November 1916;29 September 1918;26 Oktober 1917;6 November 1918;27 Agustus 1916;6 Desember 1916;9 Desember 1917;9 Maret 1918;27 Maret 1918;7 Mei 1918;10 November 1918;3 Maret 1918;3 Mei 1917;7 Mei 1915;6 April 1917;21 Maret 1918;10 April 1918;5 November 1917;8 Agustus 1918;11 November 1918;29 September 1918;11 November 1918;28 Juni 1919;24 Juli 1923;11 November 1918;23 Agustus 1923;23 Oktober 1911;15 September 1916;30 April 1915;1 November 1914;9 November 1918;28 Juni 1919;3 Mei 1915;8 Desember 1915;1 November 1921;11 November 1918;20 November 1914;20 September 1914;11 November 2009;27 September 2010;20 November 2009;20 November 2009;17 November 2009;1 September 1924;17 November 2009;12 November 2009;17 November 2009;17 November 2009;17 November 2009;17 November 2009;28 November 2006;17 September 2000;12 November 2009;12 November 2009;5 November 1918;26 April 1916;2 November 2007;21 April 2009;15 November 1918;17 November 2009;6 November 2009;17 November 2009;12 November 2009;12 November 2009;28 Juni 1914;25 Oktober 1917;6 Maret 1918;9 November 1918;1 Juli 1916;24 Desember 1914;24 Desember 1914;24 Desember 2020;28 Juni 1914;24 Desember 1914;24 Desember 1914;28 Juli 1914;11 November 1918;14 Juni 1940;28 Juni 1914;24 Desember 1914;24 Desember 1914;15 Mei 1972;23 Juni 2022;25 Desember 1914;7 Desember 1914;27 Juli 1909;27 Juli 1909;27 Juli 1909;3 Agustus 1949;3 Agustus 1949;18 Desember 1948;19 Desember 1948;19 Desember 1948;22 Desember 1948;28 Januari 1949;1 Maret 1949;14 April 1949;28 Januari 1949;24 Juni 2022;5 April 2022;7 Mei 1949;21 Mei 2021;24 Juni 2022;28 Juli 1914;11 November 1918;31 Januari 1971;7 Mei 1915;10 April 1917;29 September 1918;30 Oktober 1918;4 November 1918;11 November 1918;28 Juni 1919;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;20 Agustus 1920;24 Juli 1923;28 Juli 1914;11 November 1918";11-Nov-18;1;0;0;0
123;Kapan Pasukan Yunani merebut Izmir dan menduduki Anatolia Barat?;21 Mei 1919;"19 Mei 1919;29 Oktober 1923;30 Oktober 1918;13 November 1918;21 Mei 1919;21 Januari 1920;19 Mei 1919;29 Oktober 1923;30 Oktober 1918;13 November 1918;21 Mei 1919;21 Januari 1920;24 Maret 2022;19 Mei 1919;29 Oktober 1923;30 Oktober 1918;13 November 1918;21 Mei 1919;21 Januari 1920;30 Agustus 1922;29 Agustus 2015;26 Agustus 1071;29 Oktober 1923;15 Mei 1919;2 September 1922;24 Juli 1923;27 Agustus 2014;30 Agustus 2017;19 Mei 1919;19 Mei 1919;29 Oktober 1923;30 Oktober 1918;13 November 1918;21 Mei 1919;21 Januari 1920;30 Oktober 1918;13 November 1918;19 Mei 1919;29 Oktober 1923;30 Oktober 1918;13 November 1918;21 Mei 1919;21 Januari 1920;19 Mei 1919;29 Oktober 1923;30 Oktober 1918;13 November 1918;21 Mei 1919;21 Januari 1920";19 Mei 1919;0;0;1;0
124;Kapan kemerdekaan Afghanistan?;19 Agustus 1919;"8 Agustus 1919;8 Agustus 1919;31 Agustus 2021;3 September 1879;26 Mei 1879;25 Juni 2009;25 Juni 1950;23 Juni 2022;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;19 Agustus 1919;17 Agustus 1938;11 September 2001;11 September 2001";19 Agustus 1919;1;0;0;0
125;Kapan Traktat Saint-Germain-en-Laye ditandatangani ?;10-Sep-19;"10 September 1919;10 September 1919;21 Oktober 1918;3 November 1918;11 November 1918;10 September 1919;28 Juli 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;10 Agustus 1920;28 Juli 1914;11 November 1918;28 Juni 1914;11 November 1918;16 Juni 1913;28 Juni 1914;28 Juli 1914;30 Juli 1914;4 Agustus 1914;9 September 1914;30 Agustus 1914;12 September 1914;1 Juli 1916;22 April 1915;15 September 1916;1 Juli 1916;1 Juni 1916;7 Januari 1916;29 Mei 1917;19 November 1916;29 September 1918;26 Oktober 1917;6 November 1918;27 Agustus 1916;6 Desember 1916;9 Desember 1917;9 Maret 1918;27 Maret 1918;7 Mei 1918;10 November 1918;3 Maret 1918;3 Mei 1917;7 Mei 1915;6 April 1917;21 Maret 1918;10 April 1918;5 November 1917;8 Agustus 1918;11 November 1918;29 September 1918;11 November 1918;28 Juni 1919;24 Juli 1923;11 November 1918;23 Agustus 1923;23 Oktober 1911;15 September 1916;30 April 1915;1 November 1914;9 November 1918;28 Juni 1919;3 Mei 1915;8 Desember 1915;1 November 1921;11 November 1918;20 November 1914;20 September 1914;11 November 2009;27 September 2010;20 November 2009;20 November 2009;17 November 2009;1 September 1924;17 November 2009;12 November 2009;17 November 2009;17 November 2009;17 November 2009;17 November 2009;28 November 2006;17 September 2000;12 November 2009;12 November 2009;5 November 1918;26 April 1916;2 November 2007;21 April 2009;15 November 1918;28 September 2006;17 November 2009;6 November 2009;17 November 2009;9 November 2011;12 November 2009;12 November 2009;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;10 Agustus 1920;28 Juli 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;10 Agustus 1920";11-Nov-18;0;0;1;0
126;Kapan Traktat Neuilly-sur-Seine ditandatangani ?;27-Nov-19;"27 November 1919;27 November 1919;27 November 1919;25 September 1918;28 Juli 1914;11 November 1918;28 Juli 1914;11 November 1918;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;10 Agustus 1920;27 November 1919;27 November 1919;25 September 1918;27 November 1919;25 September 1918;28 september 1918;27 november 1919;27 November 1919;27 November 1919;28 september 1918;27 November 1919;27 November 1919;28 Juni 1919;10 September 1919;27 November 1919;4 Juni 1920;10 Agustus 1920";27-Nov-19;1;0;0;0
127;Kapan Deklarasi Konferensi Perdamaian Paris 1919?;18 Januari 1919;"18 Januari 1919;18 Januari 1919;18 Januari 1919;18 Januari 1919;28 Juni 1919;18 Januari 1919;18 Januari 1919;5 Januari 2022;18 Januari 1919;18 Januari 1919;18 Januari 1919;18 Januari 1919;23 Juni 2022;24 Juni 1987;24 Juni 2022;24 Juni 2022;24 Juni 1987;10 Januari 1920;28 Juni 1919;18 Januari 1919;19 Mei 1919;29 Oktober 1923;30 Oktober 1918;13 November 1918;21 Mei 1919;21 Januari 1920";18 Januari 1919;1;0;0;0
